original_title,original_artist,spotify_title,spotify_artist,album,release_date,popularity,duration_ms,explicit,album_cover,genres
New Age,Daniela Dessì,NEW AGE,Daniela Dessi,Nature,2009-01-01,0,334053,False,https://i.scdn.co/image/ab67616d0000b273b88901a6a489149ef07b1fa4,"['classical soprano', 'italian soprano']"
Perasmena Mesanihta,Dakis,Perasmena Mesanihta,Dakis,Moments,2008-02-01,0,172343,False,https://i.scdn.co/image/ab67616d0000b273164e8e4e4894028efaff7d76,['classic greek pop']
Une petite pause,Pascal Sangla,Une petite pause,Pascal Sangla,Une petite pause,2010-02-01,0,243800,False,https://i.scdn.co/image/ab67616d0000b2730fc8e8e853000cd1f7277da9,['french soundtrack']
When Morning Comes To Town,The Field Mice,When Morning Comes To Town,The Field Mice,Coastal,1991-01-01,12,316733,False,https://i.scdn.co/image/ab67616d0000b273c49b1673c9c51570b3273fc7,"['bristol indie', 'c86', 'melancholia', 'shoegaze', 'tape club', 'twee pop']"
Love's Been Good To Me,Carl Belew,Love's Been Good to Me,Carl Belew,"Stop the World! It's Carl Belew, Vol. 1",2017-06-01,0,131533,False,https://i.scdn.co/image/ab67616d0000b273ed81e92d51cad220820b5ea2,
Poor Tom ,Led Zeppelin,Poor Tom - Remaster,Led Zeppelin,Coda (Deluxe Edition),1982-11-19,31,182413,False,https://i.scdn.co/image/ab67616d0000b2733b7bf70364c3f8643723398e,"['album rock', 'classic rock', 'hard rock', 'rock']"
Carpe PM,The Secret Life of Teenage Girls,Carpe PM,The Secret Life of Teenage Girls,The Last Living American Marxists,2005,0,153200,False,https://i.scdn.co/image/ab67616d0000b2736b43b463685c47215039c1a0,['digital hardcore']
Wounded Hearts,Sandi Thom,Wounded Hearts,Sandi Thom,The Pink and the Lily,2008-05-26,1,205200,False,https://i.scdn.co/image/ab67616d0000b273e1bd21b49069a50fd4ec804a,"['candy pop', 'scottish singer-songwriter']"
Freedom Enough ,Catherine Howe,Freedom Enough - 2017 Remaster,Catherine Howe,Harry / Silent Mother Nature (2017 Remaster),2006,0,187360,False,https://i.scdn.co/image/ab67616d0000b273e1acd51185f5a889d224e460,['british folk']
Who Shot Ya ,The Notorious B.I.G.,Who Shot Ya? - 2005 Remaster,The Notorious B.I.G.,Ready to Die (The Remaster),1994-09-13,63,319360,True,https://i.scdn.co/image/ab67616d0000b2730f51e29700232d57fe8a0830,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
Estate,Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas,Estate,Billy Higgins,Once More,1994-01-01,0,431960,False,https://i.scdn.co/image/ab67616d0000b273e209f952eab50d549ecc9824,['jazz drums']
C'est Moi,Rupa & the April Fishes,c'est moi,Rupa & the April Fishes,este mundo,2009-10-27,27,250200,False,https://i.scdn.co/image/ab67616d0000b2731b166d9b739b9abd1d138dd3,
Angel Food,Steve Vai,Angel Food,Steve Vai,Where The Wild Things Are,2009-01-01,3,383293,False,https://i.scdn.co/image/ab67616d0000b2734f8181eea8e89ce976b95eb5,"['instrumental rock', 'metal guitar', 'shred']"
Pseudoephedrine,Nick Conolly,Pseudoephedrine,Nick Conolly,Black & White TV With the Sound Turned Low,1999-11-01,0,307513,False,https://i.scdn.co/image/ab67616d0000b2734740f60692ce814abed58104,
Boogie Man,Freddie King,Boogie Man,Freddie King,Woman Across The River,1973-01-01,16,227173,False,https://i.scdn.co/image/ab67616d0000b27382d07d16178d614a8a65e5e2,"['blues', 'blues rock', 'electric blues', 'texas blues', 'traditional blues']"
Girl From A Pawnshop,The Black Crowes,Girl From A Pawnshop,The Black Crowes,Three Snakes And One Charm,1996-01-01,12,377826,False,https://i.scdn.co/image/ab67616d0000b27321a673e361bccc9c3304dbfe,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'hard rock', 'jam band', 'rock', 'southern rock']"
Perfection Design,Amoral,Perfection Design,Amoral,Show Your Colors,2009-01-01,2,238880,False,https://i.scdn.co/image/ab67616d0000b27342fb9610901657de89dcabf1,"['finnish death metal', 'finnish progressive metal']"
Memorabilia,Nine Inch Nails,Memorabilia,Nine Inch Nails,The Downward Spiral (Deluxe Edition),1994-03-08,30,442000,False,https://i.scdn.co/image/ab67616d0000b2734078c255069c0e7a2553fa4a,"['alternative metal', 'alternative rock', 'cyberpunk', 'electronic rock', 'grunge', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']"
No Regrets,Gob,No Regrets,Goblin Quartet,No Regrets,2024-08-09,40,189500,False,https://i.scdn.co/image/ab67616d0000b27381e3e8c4fdec6e6820f8fb0f,
Just Want To See Ya,Pacha Massive,Just Want To See Ya,Pacha Massive,If You Want it,2009-09-22,4,242653,False,https://i.scdn.co/image/ab67616d0000b2732e62bac92d23cf8b9be35c2f,['electro jazz']
Love My Way,William Orbit,Love My Way,William Orbit,Best Of Strange Cargo,1996-01-01,24,159066,False,https://i.scdn.co/image/ab67616d0000b27344361a60d78cf25853543bd7,"['classic progressive house', 'downtempo', 'intelligent dance music']"
Coolsville ,Rickie Lee Jones,Coolsville,Rickie Lee Jones,Rickie Lee Jones,1979-03-02,20,228186,False,https://i.scdn.co/image/ab67616d0000b273b10b485cbfdb9c7e19ec92c1,"['folk', 'singer-songwriter']"
About Last Night ,Vitamin C,About Last Night,Vitamin C,Vitamin C,1999-08-31,7,241040,False,https://i.scdn.co/image/ab67616d0000b27316354c666df6afbd41862adf,
Inferior ,Zuma,Inferior,Zuma,Inferior,1997,0,261668,False,https://i.scdn.co/image/ab67616d0000b273bc3398b7fe4405b7961d00c2,
Rakkauden veteraani,Kari Tapio,Rakkauden veteraani,Kari Tapio,Viimeiseen pisaraan,2009,1,226600,False,https://i.scdn.co/image/ab67616d0000b2730a16f7702ed023ef163753e4,"['classic finnish pop', 'classic iskelma', 'iskelma']"
Wo Men De Fei Leng Cui,Steve Chou,我们的翡冷翠,Steve Chou,恋人创世纪,2009-04-07,18,219960,False,https://i.scdn.co/image/ab67616d0000b27350470747bc3a5ecc4c419948,"['classic mandopop', 'mandopop']"
Somewhere,Bob Carlisle,Somewhere On The Other Side,Bob Carlisle,Collection,1997-01-01,1,270426,False,https://i.scdn.co/image/ab67616d0000b2738c95da97a5a5338305c40542,
Ubi Caritas,Cantara,Ubi Caritas,Connie Dover,Cantara,2000-01-01,0,288440,False,https://i.scdn.co/image/ab67616d0000b273776a08454bed8c6063e15358,
Surf of Syn,GWAR,Surf of Syn,Gwar,Ragnarök,1995,14,261866,False,https://i.scdn.co/image/ab67616d0000b2731ac214655d7fc0ca3beef80a,"['comic metal', 'groove metal', 'industrial metal', 'nu metal', 'old school thrash', 'virginia metal', 'virginia punk']"
She's So Tough,Mink DeVille,She's So Tough,Mink DeVille,Cabretta,1977,24,166266,False,https://i.scdn.co/image/ab67616d0000b2730f16218db1b99a29202cc290,['pub rock']
Keinu Kanssani ,J. Karjalainen & Mustat Lasit,Keinu Kanssani - 2003 Digital Remaster;,J. Karjalainen & Mustat Lasit,Lumipallo,1988,4,223133,False,https://i.scdn.co/image/ab67616d0000b27317db85525ad31d20bc51a2a1,"['classic finnish rock', 'suomi rock']"
Hush,Mongo Santamaria,Hush,Mongo Santamaria,Mongo Returns!,1995-01-01,0,366733,False,https://i.scdn.co/image/ab67616d0000b273fbd7ea51610bee44fff44342,"['afro-cuban percussion', 'boogaloo', 'cuban rumba', 'jazz cubano', 'latin jazz', 'musica tradicional cubana']"
Let's Go Home,Bert Kaempfert And His Orchestra,Let's Go Home,Bert Kaempfert,Love Letters (Remastered),1965-03-01,2,162693,False,https://i.scdn.co/image/ab67616d0000b273fd891cb1267321e5a8685c40,"['ballroom', 'easy listening']"
Bahama Lullaby,Blind Blake & The Royal Victoria Hotel Calypsos,Bahama Lullaby,Blind Blake,Bahamian Songs,2009-07-06,1,161760,False,https://i.scdn.co/image/ab67616d0000b2739fd4399e177b5d03fdc9392f,
Disciplinarian,Margaret Smith,Disciplinarian,Margaret Smith,As It Should Be,2000-08-15,1,46866,False,https://i.scdn.co/image/ab67616d0000b273176aac0c9ac9c1c835c63e78,['comedienne']
Mazurcas das Rías Baixas,Susana Seivane,Mazurcas das rías Baixas,Susana Seivane,Os soños que Volven,2009-07-01,0,296493,False,https://i.scdn.co/image/ab67616d0000b2732e72e37cd67f11adbec8d753,"['gaita', 'galician folk', 'spanish folk']"
La Piel de Tu Alma,Tito Rodriguez_ Louie Ramirez,La Piel de Tu Alma,Tito Rodriguez,"En ""Algo Nuevo""",1977,1,244266,False,https://i.scdn.co/image/ab67616d0000b27383ec122a4af3c77058c07170,"['charanga', 'latin jazz', 'mambo', 'salsa', 'salsa puertorriquena']"
Hack 1/Charlie X,Information Society,Hack 1/Charlie X,Information Society,Hack,1990-01-01,11,211960,False,https://i.scdn.co/image/ab67616d0000b273683bc9b93c7abcc969189cfc,"['freestyle', 'new romantic', 'synthpop']"
Stumblin' Man ,Tad,Stumblin' Man - Remastered,Tad,8-Way Santa (Deluxe Edition),1991-02-15,11,214730,False,https://i.scdn.co/image/ab67616d0000b27396ade942f67d43a418b8ba3e,['grunge']
This Will Be Laughing Week,Ultimate Fakebook,This Will Be Laughing Week,Ultimate Fakebook,This Will Be Laughing Week,2000-07-18,2,116426,False,https://i.scdn.co/image/ab67616d0000b273b3f7b62a6a3740b57cca9994,
Le Temps Des Cerises,Toots Thielemans,Le Temps Des Cerises,Toots Thielemans,Chez Toots,1998-03-01,5,109173,False,https://i.scdn.co/image/ab67616d0000b2733fc3cfc0e746af3c6a1036a6,"['belgian jazz', 'harmonica jazz']"
Musica Sacra Nova: Morgen I Frydenlund,John Tchicai,Musica Sacra Nova: Morgen I Frydenlund,John Tchicai,Hymn To Sophia (Hymne Til Sofia),2006-07-11,0,250680,False,https://i.scdn.co/image/ab67616d0000b273c0ec7e534ae474cee6fceba2,"['avant-garde jazz', 'free jazz', 'jazz saxophone']"
Estas hecha para mi ,Carlos Baute,Estás hecha para mí,Carlos Baute,Estas hecha para mi,2006-08-07,7,196613,False,https://i.scdn.co/image/ab67616d0000b27319dbdd70f77aa3859f2bc5c2,"['latin pop', 'spanish pop']"
Boxing Day,The Pineapple Thief,Boxing Day - Rewired,The Pineapple Thief,Give It Back (Rewired),2022-05-13,17,206610,False,https://i.scdn.co/image/ab67616d0000b273987eebd5347ede98a972765f,"['modern progressive rock', 'progressive metal']"
Why Don't You Do Right,Barbara Lusch,Why Don't You Do Right,Barbara Lusch,Surprisingly Good For You,2006-01-01,1,197720,False,https://i.scdn.co/image/ab67616d0000b27375436c96d228db38e2587dae,
Beautiful Maria of My Soul,Virtuoso,Beautiful Maria of My Soul,Virtuoso,Virtuoso,2009-05-07,0,277706,False,https://i.scdn.co/image/ab67616d0000b27360f5c8d345c836509b8b3ec5,
Hate Zone,Brand X,Hate Zone,Brand X,Morrocan Roll,1977-01-01,22,281466,False,https://i.scdn.co/image/ab67616d0000b273ac841da2948983d5e6284e32,"['british jazz', 'instrumental rock', 'jazz fusion', 'jazz rock', 'progressive rock', 'symphonic rock']"
I Must See Jesus,Michael Bloomfield,I Must See Jesus,Mike Bloomfield,"If You Love These Blues, Play'em As You Please",2004-01-01,1,271866,False,https://i.scdn.co/image/ab67616d0000b273ee66629d93b8b08577159d6d,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'traditional blues']"
Feels Good To Be Free,Karen Peck And New River,Feels Good To Be Free,Karen Peck & New River,The Best Of Karen Peck And New River,2007-01-01,1,194413,False,https://i.scdn.co/image/ab67616d0000b273ce3138b4de5d9dac1f04df24,['southern gospel']
Contact,Dive,Contact,Dive,Stills,1992-01-01,2,227360,False,https://i.scdn.co/image/ab67616d0000b27347d3a004cb353064fbf6a47a,
Trade Winds,Judy Mowatt,Trade Winds,Judy Mowatt,Only A Woman,1982-01-01,13,349866,False,https://i.scdn.co/image/ab67616d0000b273b6ae9cfcf23759b17016174f,"['lovers rock', 'reggae', 'rocksteady', 'roots reggae']"
Lo Mismo Que Yo ,Bacilos,Lo Mismo Que Yo,Bacilos,Bacilos (Re-Issue),2001-04-24,42,207946,False,https://i.scdn.co/image/ab67616d0000b273508f6cb8971fc173e1b6f26f,"['colombian pop', 'latin alternative', 'latin pop', 'rock en espanol']"
Rakkautta Kööpenhaminassa - Förälskad i Köpenhamn -,Erkki Junkkarinen,Rakkautta Kööpenhaminassa - Förälskad i Köpenhamn,Erkki Junkkarinen,(MM) Ruusuja hopeamaljassa - Laulajan muisto,2008-05-20,0,165546,False,https://i.scdn.co/image/ab67616d0000b273763e8913c555a09cd3952fd8,"['classic finnish pop', 'classic iskelma', 'humppa']"
Pedagogy for the Oppressed ,Scalplock,Pedagogy for the Oppressed,Scalplock,Spread The Germs,1997,0,114026,False,https://i.scdn.co/image/ab67616d0000b2738c41224214404d1cf93dc4e4,
Wings,4Him,Wings,4Him,The Ride,1994,10,239026,False,https://i.scdn.co/image/ab67616d0000b2738be2d305e46aa7766546a60c,"['ccm', 'christian alternative rock', 'christian music']"
When He Was On The Cross ,The Paynes,When He was on the Cross (I was on HIs Mind),The Paynes,"The Ultimate Collection, Vol. 2",2009-10-26,4,226786,False,https://i.scdn.co/image/ab67616d0000b273b1e204ec31424c0e9aa68e77,['family gospel']
How It Feels,Juggler,How It Feels to Be Alive - Live,The Crazy Juggler's Prog Orchestra,Unprogged,2024-07-26,0,266834,False,https://i.scdn.co/image/ab67616d0000b273db53a53f9b1a3fc0ce76708d,
In The Midnight Hour,The Dee Jays,In The Midnight Hour,The Dee Jays,The Dee Jays / Baby Talk - Best of,2003-01-01,1,195133,False,https://i.scdn.co/image/ab67616d0000b2738968c67bc72b3bd5b94227f7,['swedish rock-and-roll']
Intro,Diamond D,Be - Introduction Of Jonathan,Neil Diamond,Jonathan Livingston Seagull,1973,37,392466,False,https://i.scdn.co/image/ab67616d0000b273620fd11ffa8be9abdf02c524,"['adult standards', 'brill building pop', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']"
Marashi Ya Pemba,Ndala Kasheba,Marashi Ya Pemba,Ndala Kasheba,Yellow Card,2000,16,416066,False,https://i.scdn.co/image/ab67616d0000b2733775b479fadd8ac92d88ebe1,"['benga', 'zilizopendwa']"
I Gotta Keep Dancing,Corona,I Gotta Keep Dancing,Corona,The Rhythm of the Night,1994,21,221440,False,https://i.scdn.co/image/ab67616d0000b273f94b2a29ccc364e8faedce10,"['diva house', 'eurodance', 'europop', 'hip house']"
Im Slowly Turning Into You,The White Stripes,I'm Slowly Turning Into You,The White Stripes,Icky Thump,2007-06-15,36,274533,False,https://i.scdn.co/image/ab67616d0000b27375a9cde08f286d9420709048,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'permanent wave', 'punk blues', 'rock']"
Get It Started,2Fresh,Get It Started - Digital Souls Tribal Workout,2Fresh,2 Fresh - Get It Started,2010-04-12,0,461250,False,https://i.scdn.co/image/ab67616d0000b273412ddb0244841d3460f3e761,
Boring,Lifer,Boring,Lifer,Lifer,2001-01-01,25,226800,False,https://i.scdn.co/image/ab67616d0000b2732577f15af6777fff11a2a083,"['alternative metalcore', 'rap metalcore', 'rap rock']"
Riot Squad ,Bad Brains,Riot Squad,Bad Brains,Rock for Light,1983,21,119666,False,https://i.scdn.co/image/ab67616d0000b273b4bbc117f93eb572bebf9585,"['black punk', 'dc hardcore', 'hardcore punk', 'nyhc', 'punk']"
Independentia,US Coast Guard Band,Independentia,United States Coast Guard Band,Always Ready (Sempar Paratus),2001-01-01,3,208360,False,https://i.scdn.co/image/ab67616d0000b2736402afd26b15047b00e68652,['military band']
Bury You,Lollipop Lust Kill,Bury You,Lollipop Lust Kill,My So Called Knife,2002-06-04,8,265960,True,https://i.scdn.co/image/ab67616d0000b273d98c2381488caa84d365b798,
Ghosts,Chariots,Ghosts,Chariots,Daybreak,2007-11-13,0,162693,False,https://i.scdn.co/image/ab67616d0000b2739ba5d87e3e032defdf28ba49,
Close To You,Rick Astley,(They Long to Be) Close to You,Rick Astley,Portrait,2005-10-15,19,184560,False,https://i.scdn.co/image/ab67616d0000b27387391830610d998ce5e6758f,"['new romantic', 'new wave pop', 'soft rock', 'sophisti-pop', 'synthpop']"
Highland,Bill Douglas,Highland,Bill Douglas,Jewel Lake,1988-01-01,15,203173,False,https://i.scdn.co/image/ab67616d0000b273a7359a84906fb0b5c25ff6cd,['new age']
It Is Us,Mudhoney,It Is Us,Mudhoney,Under A Billion Suns,2006-03-07,3,208666,False,https://i.scdn.co/image/ab67616d0000b2736dfa761f363a46fcff9e4642,"['alternative rock', 'grunge', 'punk']"
When Will They Shoot? ,Ice Cube,When Will They Shoot?,Ice Cube,The Predator,1992-11-17,39,276160,True,https://i.scdn.co/image/ab67616d0000b273994c319841a923465d62e271,"['conscious hip hop', 'g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
Hold On,Hot Chip,Hold On,Hot Chip,Made In The Dark,2008-01-21,20,384481,False,https://i.scdn.co/image/ab67616d0000b273e2b82066b6e43424650667bd,"['alternative dance', 'dance rock', 'electronica', 'indie rock', 'indietronica', 'neo-synthpop', 'new rave']"
Colombine,Georges Brassens,Colombine,Georges Brassens,Brassens!,2024-10-11,18,114914,False,https://i.scdn.co/image/ab67616d0000b273470fe4c6b09f00a1895db256,"['chanson', 'french rock']"
Matador,Los Fabulosos Cadillacs,Matador - Remasterizado 2008,Los Fabulosos Cadillacs,Obras Cumbres,2021-03-05,64,275893,False,https://i.scdn.co/image/ab67616d0000b273721cad4da1b767b70e8aa699,"['argentine rock', 'latin alternative', 'latin pop', 'latin rock', 'rock en espanol', 'ska', 'ska argentino']"
You're Killing My Love,Michael Bloomfield,You're Killing My Love,Mike Bloomfield,Bloomfield-A Retrospective,1984,2,310600,False,https://i.scdn.co/image/ab67616d0000b273fc718cd06ffd8431925f14f2,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'traditional blues']"
Smoke! Smoke! Smoke! ,Tex Williams,Smoke! Smoke! Smoke! (That Cigarette),Tex Williams,Smoke Smoke Smoke,1960-01-01,42,163333,False,https://i.scdn.co/image/ab67616d0000b27332d29391915dc8f80945a4d5,"['cowboy western', 'western swing']"
Would You Like To Take A Walk?,Marion Harris,Would You Like to Take a Walk? (Recorded March 1931),Marion Harris,Brunswick 3 (1920's Blues & Jazz Vocals) [Recorded 1925-1934],2014-11-26,0,163082,False,https://i.scdn.co/image/ab67616d0000b27387b251f833bb8f1db5b4bd6e,"['torch song', 'vaudeville', 'vintage jazz']"
Six,Faithless,Six,Faithless,Everything Will Be Alright Tomorrow,2004-07-24,8,142213,False,https://i.scdn.co/image/ab67616d0000b273ccbe7c61affe0af40dd9e363,"['big beat', 'downtempo', 'electronica', 'trip hop']"
A Little Tear,Willie Bobo,A Little Tear,Willie Bobo,Tomorrow Is Here,1977-10-06,1,294360,False,https://i.scdn.co/image/ab67616d0000b2734c00f55dec18debc35cea43a,"['afro-cuban percussion', 'boogaloo', 'latin jazz']"
Razor,Foo Fighters,Razor,Foo Fighters,In Your Honor,2005-06-14,36,293173,False,https://i.scdn.co/image/ab67616d0000b2736c44679425e2695001b35d72,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']"
Le Bal Du P'tit Jardin,Gus Viseur,Le bal du p'tit jardin,Gus Viseur,De Clichy A Broadway,2002-01-01,20,128946,False,https://i.scdn.co/image/ab67616d0000b27347ed45c6f725acc016aa8dd2,"['bal-musette', 'jazz accordion']"
I Can't Quit You Baby  [Never Released],The Fabulous Thunderbirds,I Can't Quit You Baby (Live) [Never Released],The Fabulous Thunderbirds,Tacos Deluxe,2003,1,343573,False,https://i.scdn.co/image/ab67616d0000b273c8bc0789d7ccc213f275480b,"['blues', 'blues rock', 'country rock', 'electric blues', 'modern blues', 'southern rock', 'texas blues']"
Sous Les Ponts De Paris ,Jo Privat,Sous Les Ponts De Paris - 1960,Jo Privat,Valse Musette,2018-07-20,5,145626,False,https://i.scdn.co/image/ab67616d0000b2734272c158e64c2104fc7ba989,"['bal-musette', 'jazz accordion']"
Dance Hall Days,Wang Chung,Dance Hall Days,Wang Chung,Points On The Curve,1984-01-16,65,240800,False,https://i.scdn.co/image/ab67616d0000b273f7ae51b20b3ffa211c406d71,"['new romantic', 'new wave pop', 'synthpop']"
Paperman_ Fly In The Sky - Original,Chris Farlowe,"Paperman, Fly In The Sky - Original",Chris Farlowe,Chris Farlowe Selected Hits,2006-06-13,0,165500,False,https://i.scdn.co/image/ab67616d0000b2738967a03d5fb62c446db20d70,"['british blues', 'british invasion']"
Lift ,Azukx,Lift - Future Mix,Azukx,Everything Is Everything,1995-09-18,1,524826,False,https://i.scdn.co/image/ab67616d0000b2731d783ceabcc4a789e698e2ec,
This Lullaby,Queens Of The Stone Age,This Lullaby,Queens of the Stone Age,Lullabies To Paralyze,2005-01-01,37,82800,False,https://i.scdn.co/image/ab67616d0000b27390cd89ddbbd2034ee1f20b5c,"['alternative metal', 'alternative rock', 'grunge', 'modern rock', 'palm desert scene', 'rock', 'stoner metal', 'stoner rock']"
Tired,Moonspell,Tired,Moonspell,The Butterfly Effect,1999,8,324186,False,https://i.scdn.co/image/ab67616d0000b2731d812c2fdec3c0259ca659b6,"['gothic black metal', 'gothic metal', 'melodic death metal', 'metal', 'portuguese black metal', 'portuguese metal', 'portuguese rock', 'power metal']"
Indianola,Steve Azar,Indianola - Remastered,Steve Azar,My Mississippi Reunion,2020-10-23,0,263695,False,https://i.scdn.co/image/ab67616d0000b273053b7900e60e084e64b76e71,['country road']
King Of Rock,RUN-DMC,King of Rock,Run–D.M.C.,King Of Rock (Expanded Edition),1985-01-21,43,314146,False,https://i.scdn.co/image/ab67616d0000b273c2a168906a5672f98a7b3b0f,"['east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop', 'queens hip hop', 'rap']"
Since I Met You Baby,Kenny Neal,Since I Met You Baby,Kenny Neal,Let Life Flow,2008-05-06,14,295160,False,https://i.scdn.co/image/ab67616d0000b2738d6cbe06d97c87ed364cd45c,"['electric blues', 'louisiana blues', 'modern blues', 'swamp blues']"
It's Not Whatcha Got ,Andréa,It's Not Whatcha Got - Fondling Club Mix,Andrea,Rhythm Formula: Volume Three - Discovery,2006-12-08,0,288218,False,https://i.scdn.co/image/ab67616d0000b2737bde1c5aae1e6b45818e40b8,
Where Is My Mind ,Placebo,Where Is My Mind? - XFM Live Version,Placebo,Covers,2003-03-24,50,224560,False,https://i.scdn.co/image/ab67616d0000b27362c995dbce6d7ffa4c097475,"['alternative rock', 'britpop', 'permanent wave', 'rock']"
Resurrection Man,Heaven 17,Resurrection Man,Heaven 17,Bigger Than America,1996-08-18,0,242293,False,https://i.scdn.co/image/ab67616d0000b273713dd1be5d0b4438fc3debc7,"['new romantic', 'new wave pop', 'sophisti-pop', 'synthpop']"
El Termometro,Orquesta Broadway,El Termometro,Orquesta Broadway,Charanga After Hours,2008-08-12,0,146333,False,https://i.scdn.co/image/ab67616d0000b273d1d0926381e88dd8d33cb19c,"['charanga', 'latin jazz', 'salsa', 'salsa international']"
Grottans Barn,Finntroll,Grottans Barn,Finntroll,Nattfödd,2004-04-19,18,276466,False,https://i.scdn.co/image/ab67616d0000b2730afa4a211ff353dc0ec825f9,"['finnish metal', 'folk metal', 'melodic death metal', 'nordic folk metal', 'power metal', 'symphonic metal', 'viking metal']"
Your Silence,The Suicide Machines,Your Silence,The Suicide Machines,A Match & Some Gasoline,2003-06-17,19,170906,False,https://i.scdn.co/image/ab67616d0000b2737c19cad8f98aba02b630946d,"['punk', 'ska', 'ska punk', 'skate punk']"
Autumn In New York,Chico Hamilton,Autumn In New York,Chico Hamilton,It's About Time!,2008-04-29,0,200440,False,https://i.scdn.co/image/ab67616d0000b27365cf4a661c7f9f5c9846a1bb,"['jazz drums', 'jazz funk', 'soul jazz']"
Verdad Amarga,Los Solitarios,Verdad amarga,Los Solitarios,12 Grandes exitos Vol. 1,2007-03-04,19,168120,False,https://i.scdn.co/image/ab67616d0000b273c7e9bbd7b4407159b0c4b938,"['grupera', 'mexican rock-and-roll', 'ranchera']"
Blott En Dag,Mons Leidvin Takle,Blott En Dag,Mons Leidvin Takle,Navnet Jesus,2001-10-02,1,182125,False,https://i.scdn.co/image/ab67616d0000b273c11679e9b56633387add2b81,['norwegian gospel']
Spaz's House Destruction Party,Anti-Flag,Spaz's House Destruction Party (Live),Anti-Flag,Mobilize,2002-02-19,10,190293,False,https://i.scdn.co/image/ab67616d0000b273840d1bea5c1c255e8bf19c91,"['punk', 'skate punk']"
This Heart Of Mine,Josh White,This Heart Of Mine,Josh White,Josh White Vol. 1 1929-1933,1993,0,178756,False,https://i.scdn.co/image/ab67616d0000b273dcb069b78ee8fb59e4252dda,
Mai [Live],Josh Groban,Mai - Live 2007,Josh Groban,Awake Live,2008-05-06,5,266010,False,https://i.scdn.co/image/ab67616d0000b273d011c301a41feca22da4f388,['operatic pop']
The Sirius Deception ,Nicholas Hooper,The Sirius Deception,Nicholas Hooper,Harry Potter And The Order Of The Phoenix (Original Motion Picture Soundtrack),2007-07-07,37,154373,False,https://i.scdn.co/image/ab67616d0000b273131830d267848232447ba5d5,"['british soundtrack', 'soundtrack']"
Catharsis Of A Heretic,The Ocean,Catharsis Of A Heretic,The Ocean,Heliocentric,2010-04-13,13,128893,False,https://i.scdn.co/image/ab67616d0000b27372355a1b8bd9de8ceafbe55e,"['atmospheric post-metal', 'atmospheric sludge', 'djent', 'post-metal', 'progressive metal', 'progressive sludge', 'sludge metal']"
Say What!?!,Chris Standring,Say What!?!,Chris Standring,Groovalicious,2003-07-15,3,269400,False,https://i.scdn.co/image/ab67616d0000b27316f5e99fd503d15ebdcb61ef,['smooth jazz']
Una Sopita De Tu Propio Chocolate,Angélica María,Una Sopita de Tu Propio Chocolate,Angelica Maria,Angélica María Interpreta Ranchero y Norteño,2014-08-19,3,171213,False,https://i.scdn.co/image/ab67616d0000b273bce8d5bceca4fba900c60dab,"['mexican rock-and-roll', 'ranchera']"
Your Love,Glen Washington,Heaven In Your Eyes,Glen Washington,Your Love,2005,18,197626,False,https://i.scdn.co/image/ab67616d0000b273e141216057266c0dadad0ada,"['lovers rock', 'old school dancehall', 'reggae', 'roots reggae']"
Come Dance With Me,Mulberry Lane,Come Dance With Me,Mulberry Lane,Snug,2007-06-27,0,169586,False,https://i.scdn.co/image/ab67616d0000b273ac5d104ba0b825148a055287,
A World Of My Own,Knack,A World Of My Own,The Knack,Normal As The Next Guy,2001,2,255106,False,https://i.scdn.co/image/ab67616d0000b273eaf60577f5256500dca4a3c0,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'new wave', 'new wave pop', 'power pop', 'soft rock']"
Down On The Corner,La Portuaria,Down On The Corner,La Portuaria,Rio,2005-01-01,10,154973,False,https://i.scdn.co/image/ab67616d0000b273031068c53ca30ab0dad73458,"['argentine rock', 'ska argentino']"
Assassination,Dead Prez,Assassination,Dead Prez,Let's Get Free,2000-02-08,25,120866,True,https://i.scdn.co/image/ab67616d0000b2736be2fd3059b8ebc94eb85e0b,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'hardcore hip hop', 'political hip hop']"
I Did it for You,David Cook,I Did it for You,David Cook,David Cook,2008-11-18,18,229453,False,https://i.scdn.co/image/ab67616d0000b27308873c3a0de3f455f07d904a,"['idol', 'neo mellow', 'talent show']"
Alright Now,Paul Rodgers,Alright Now,Paul Rodgers,Alright Now,2005-11-08,31,269816,False,https://i.scdn.co/image/ab67616d0000b273f00e5d4025447f8015a27d9c,
